0	0.009
1	0.0317
2	0.0584
3	0.0495
4	0.0529
5	0.0372
6	0.0564
7	0.0564
8	0.0416
9	0.0356
10	0.0264
11	0.0171
12	0.013
13	0.0096
14	0.0078
15	0.0067
16	0.005
17	0.004
18	0.0048
19	0.0045
20	0.0043
21	0.0033
22	0.0028
23	0.0021
24	0.0024
25	0.0019
26	0.0017
27	0.0014
28	0.0013
29	0.0011
30	0.0014
31	0.0012
32	0.0008
33	0.001
34	0.0006
35	0.0008
36	0.0008
37	0.0005
38	0.0003
39	0.0004
40	0.0006
41	0.0004
42	0.0003
43	0.0003
44	0.0004
45	0.0003
46	0.0007
47	0.0006
48	0.0007
49	0.0006
50	0.0002
51	0.0003
52	0.0002
53	0.0003
54	0.0002
55	0.0002
56	0.0002
57	0.0004
58	0.0005
59	0.0003
60	0.0004
61	0.0004
62	0.0002
63	0.0003
64	0.0009
65	0.0006
66	0.0004
67	0.0009
68	0.0006
69	0.0006
70	0.0003
71	0.0006
72	0.0004
73	0.0004
74	0.0006
75	0.0006
76	0.0003
77	0.0003
78	0.0003
79	0.0003
80	0.0003
81	0.0003
82	0.0002
83	0.0003
84	0.0003
85	0.0007
86	0.001
87	0.0003
88	0.0004
89	0.0007
90	0.0008
91	0.0002
92	0.0002
93	0.0003
94	0.0003
95	0.0003
96	0.0004
97	0.0003
98	0.0005
99	0.0003
100	0.0002
